Year,East Midlands,East of England,London,North East,North West,Northern Ireland,Scotland,South East,South West,Total,Wales,West Midlands,Yorkshire and The Humber
2019,19.70143674,17.16443011,21.06720473,29.50128185,25.06748071,21.62948628,20.87668846,15.28729618,16.01826444,21.48967059,22.38496764,28.55862733,27.8069921
2018,18.32038713,16.99395958,20.10910152,25.31080343,25.19731577,21.51775055,19.93506048,15.12943039,15.04695965,20.34032301,19.78639857,25.73868201,25.32875465
2017,20.97331567,17.24687935,19.50926786,25.11672876,24.98204605,20.71115646,20.26672877,14.86960293,14.91585902,20.26779599,19.93403715,25.61625287,23.90716411
2016,22.1867498,15.91259765,17.03923092,24.00242827,23.24209789,22.69166613,18.40437696,14.44277874,14.64681547,19.2185768,19.06223224,24.23793162,22.65662465
2015,20.97927353,15.94596805,16.68212132,20.61982087,21.25308814,23.14446732,16.43209603,12.68124902,16.36723169,18.42967275,19.65966497,23.56059065,22.20753935
2014,18.02738041,14.84785354,16.53110341,19.55267646,20.4855916,22.81626649,16.0525495,12.16953965,16.74187005,17.62725564,20.11377436,21.24409875,21.32006795
2013,15.60341651,14.25105762,17.64516136,18.5828512,20.79218168,21.66526978,15.71518366,12.50185966,15.29517397,17.29781151,21.76195833,19.69491284,20.62608002
2012,14.6153017,12.81957704,17.49902071,20.83847641,21.11156348,21.26750313,16.7614673,12.58274395,14.40424589,17.46679526,21.82248723,20.71245308,22.54577877
2011,16.69959521,14.11289145,17.88135588,21.0757902,21.53712793,23.41602156,17.304134,12.53291624,14.3868508,18.32641273,23.0239219,23.45578008,23.24433726
2010,18.46535874,15.5804028,19.58836627,24.58608822,22.03758285,24.13141306,19.39984576,12.47912624,15.95104108,19.81813471,22.16450845,27.34130244,25.44510337
2009,23.06959615,16.30903232,21.05056249,26.5645853,24.96136086,24.47179926,20.02624619,13.61772078,16.5689594,21.42324623,25.02984172,28.93919611,25.99376571
2008,24.96063045,15.95029274,22.87619238,28.4665748,25.79500421,23.14262348,20.53597756,14.96115529,17.04659111,22.22222212,26.02530669,28.6922548,26.45309925
2007,25.55507704,15.15769615,22.88418194,27.78906451,26.16108999,23.2734421,20.46016451,15.38006899,16.89647166,22.12052159,26.87098806,27.33097431,25.87297735
2006,23.16790307,15.12775637,24.91168278,28.36385217,24.19187572,23.88219819,20.96938415,14.91764111,16.19060945,21.6806077,24.91211649,26.17926038,25.08199092
2005,22.20698209,15.49109827,25.76565107,28.45662522,24.20297535,24.62600994,21.5891351,12.93962146,16.33906677,21.49274984,23.38751505,26.30601355,24.78081345
2004,22.87484115,15.07088806,26.36270472,30.9096086,23.84301457,24.36840516,22.68415257,12.37249311,16.71441232,21.62421346,25.06237896,24.87222273,24.7557884
2003,23.52405624,15.18614864,25.43257196,30.01537194,25.36966463,24.10725003,24.70402918,13.12536393,17.92080492,22.26132356,26.39496829,25.40729102,25.84486622
2002,25.31932652,14.34806902,25.43559895,31.29340162,25.30324585,23.06334517,25.65736079,13.49544185,18.33809623,22.70129397,28.15722503,26.05474763,26.43650667
2001,24.45640444,16.1054365,25.85231092,30.18349588,27.0405534,,26.70221637,14.66009536,20.03558887,23.73949062,28.02584014,27.70957537,28.47487119
2000,25.01566198,17.05287878,26.69258432,33.3708921,29.61498004,,27.04920564,14.77447318,21.64507145,24.73339894,28.66167274,27.22088997,29.80824193
1999,24.16533024,18.80327502,27.24309464,33.58106287,31.85660453,,28.51877309,16.22481964,23.22114017,25.91228657,29.85367256,27.82172254,31.2769817
1998,24.83035148,19.50536207,27.34664841,33.97147047,32.21483237,,29.60750953,16.80527299,23.21011786,26.33038832,30.169002,28.03576575,31.30775477
1997,24.54464321,18.74953859,26.37792965,32.71911998,29.12895779,,29.44517165,17.00068564,21.35357784,25.5468683,30.4289624,28.78649173,30.20768099
1996,25.18279993,19.51241683,25.30534165,31.95273172,28.64527516,,28.73588966,16.56559304,20.9144725,25.07557657,28.5883828,27.30440346,30.42138752
1995,25.42334832,18.61509156,24.28432707,32.03986258,27.76768171,,27.70720462,15.63102469,19.88618464,24.37136068,28.8804273,26.56804608,29.75843035
1994,26.76136734,22.05576148,24.95476384,30.65961022,29.8511492,,28.23706731,14.79449137,21.93963768,25.16124793,27.61085573,25.55398918,31.4958655
