ITL2 region name TODO,Percentage childhood poverty TODO
Bedfordshire and Hertfordshire,24.15711739
"Berkshire, Buckinghamshire and Oxfordshire",23.36512341
Cheshire,24.07618858
Cornwall and Isles of Scilly,29.77509397
Cumbria,28.63338264
Derbyshire and Nottinghamshire,27.7532155
Devon,27.24405822
Dorset and Somerset,24.44871908
East Anglia,27.4845058
East Wales,27.07567354
East Yorkshire and Northern Lincolnshire,31.25883671
Eastern Scotland,23.37518428
Essex,26.12945513
"Gloucestershire, Wiltshire and Bath/Bristol area",23.28656526
Greater Manchester,34.68492303
Hampshire and Isle of Wight,25.28755577
"Herefordshire, Worcestershire and Warwickshire",26.56209662
Highlands and Islands,23.17116843
Inner London - East,46.51729365
Inner London - West,31.67634868
Kent,29.31040259
Lancashire,32.18564096
"Leicestershire, Rutland and Northamptonshire",26.03544253
Lincolnshire,27.41540364
Merseyside,32.06142147
North Eastern Scotland,18.33244034
North Yorkshire,22.47642281
Northern Ireland,25.00384264
"Northumberland, and Tyne and Wear",34.88880586
Outer London - East and North East,41.90377037
Outer London - South,32.73448164
Outer London - West and North West,35.53947928
Shropshire and Staffordshire,30.51122911
South Yorkshire,33.1039916
Southern Scotland,25.27905149
"Surrey, East and West Sussex",23.0996981
Tees Valley and Durham,35.13958327
West Central Scotland,26.22823828
West Midlands,38.51327868
West Wales and The Valleys,28.57648678
West Yorkshire,34.36848319
