Year,England,Scotland,Wales,Northern Ireland,UK
2019,30.43693989,24.2838358,30.59531341,24.03406481,29.79966885
2018,30.35416569,23.2273317,28.48068388,25.08694235,29.58780691
2017,30.29471086,24.19675309,29.05244196,23.96718288,29.5939484
2016,30.06936367,23.35194769,27.69577047,25.61755316,29.32767867
2015,29.02791706,22.79538308,29.24224298,25.6824084,28.47233497
2014,28.28491348,21.61679228,29.12361063,25.30264164,27.73688002
2013,27.64573595,20.98358225,31.04027214,25.022558,27.22397346
2012,27.54606717,20.73566318,31.55783772,24.32273198,27.12002136
2011,28.21623977,21.43717976,32.31155064,26.41052994,27.84170296
2010,29.47397784,23.52538813,30.72462498,26.00486147,28.96826621
2009,30.89680924,24.3725289,32.67853957,26.62363697,30.34389759
2008,31.52842622,24.52469355,31.76418377,24.84629086,30.78333139
2007,31.09357748,24.09346199,32.64871741,25.457807,30.4438163
2006,29.92937658,24.55252592,29.99293627,25.37272021,29.36513537
2005,28.99207258,24.99922119,28.68303892,26.68208533,28.58803935
2004,28.78386147,25.81404814,30.4308829,26.20903105,28.54386335
2003,29.48168828,27.85197618,31.26046306,26.4504426,29.38407313
2002,30.07800371,29.60981363,33.62823168,25.89786557,30.1828957
2001,31.10740034,31.23891827,34.01593831,,31.26767497
2000,32.23614825,31.24475449,35.14385019,,32.30118835
1999,33.06510466,30.98959538,35.48548208,,33.0130964
1998,33.49567814,31.55982775,35.6875609,,33.44356076
1997,33.01794379,31.90846748,36.76423305,,33.116271
1996,32.91966746,31.71394276,35.84762808,,32.966302
1995,32.53390842,30.99475707,35.88012718,,32.57307964
1994,32.61435142,30.10360282,33.59225866,,32.4460727
