Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,Sample_size,LCI,UCI,SE,Unit,Value_note
DR21,Further education and training opportunities,National,E92000001,England,2021,NA,16-18,Total,Participation type,Other training (less overlaps),4.352699205,83304.87368,NA,NA,NA,Percentage,NA
DR21,Further education and training opportunities,National,E92000001,England,2021,NA,16-18,Total,Participation type,NEET,6.42763383,123016.3628,NA,NA,NA,Percentage,NA
DR21,Further education and training opportunities,National,E92000001,England,2021,NA,16-18,Total,Participation type,In employment (not in education or training),7.971591884,152565.6664,NA,NA,NA,Percentage,NA
DR21,Further education and training opportunities,National,E92000001,England,2021,NA,16-18,Total,Participation type,Education and apprenticeships/WBL,81.24807508,1554980.097,NA,NA,NA,Percentage,NA
DR21,Further education and training opportunities,National,E92000001,England,2020,NA,16-18,Total,Participation type,Other training (less overlaps),4.204729309,78268.42916,NA,NA,NA,Percentage,NA
DR21,Further education and training opportunities,National,E92000001,England,2020,NA,16-18,Total,Participation type,NEET,6.699208517,124701.613,NA,NA,NA,Percentage,NA
DR21,Further education and training opportunities,National,E92000001,England,2020,NA,16-18,Total,Participation type,In employment (not in education or training),6.987821126,130073.9578,NA,NA,NA,Percentage,NA
DR21,Further education and training opportunities,National,E92000001,England,2020,NA,16-18,Total,Participation type,Education and apprenticeships/WBL,82.10824105,1528394,NA,NA,NA,Percentage,NA
DR21,Further education and training opportunities,National,E92000001,England,2019,NA,16-18,Total,Participation type,Other training (less overlaps),4.608806224,84653.21617,NA,NA,NA,Percentage,NA
DR21,Further education and training opportunities,National,E92000001,England,2019,NA,16-18,Total,Participation type,NEET,6.696374727,122997.069,NA,NA,NA,Percentage,NA
DR21,Further education and training opportunities,National,E92000001,England,2019,NA,16-18,Total,Participation type,In employment (not in education or training),7.439398531,136644.7148,NA,NA,NA,Percentage,NA
DR21,Further education and training opportunities,National,E92000001,England,2019,NA,16-18,Total,Participation type,Education and apprenticeships/WBL,81.25542052,1492476,NA,NA,NA,Percentage,NA
