Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,Sample_size,LCI,UCI,SE,Unit,Value_note
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2001,NA,NA,Total,NA,NA,0.395394737,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2002,NA,NA,Total,NA,NA,0.397757256,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2003,NA,NA,Total,NA,NA,0.421413864,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2004,NA,NA,Total,NA,NA,0.465214336,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2005,NA,NA,Total,NA,NA,0.388640715,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2006,NA,NA,Total,NA,NA,0.364491476,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2007,NA,NA,Total,NA,NA,0.427238806,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2008,NA,NA,Total,NA,NA,0.263105342,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2009,NA,NA,Total,NA,NA,0.185079494,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2010,NA,NA,Total,NA,NA,0.192968438,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2011,NA,NA,Total,NA,NA,0.172926739,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2012,NA,NA,Total,NA,NA,0.197633136,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2013,NA,NA,Total,NA,NA,0.243105643,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2014,NA,NA,Total,NA,NA,0.378609626,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2015,NA,NA,Total,NA,NA,0.441943128,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2016,NA,NA,Total,NA,NA,0.477602524,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2017,NA,NA,Total,NA,NA,0.561859193,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2018,NA,NA,Total,NA,NA,0.629493764,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2019,NA,NA,Total,NA,NA,0.628682171,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2020,NA,NA,Total,NA,NA,0.33784546,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2021,NA,NA,Total,NA,NA,0.907501821,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
DR31,Vacancy rate,National,K02000001,Uniited Kingdom,2022,NA,NA,Total,NA,NA,0.907874016,NA,NA,NA,NA,Rate,Data for Oct-Dec quarter
