ITL2 region name TODO,Higher professional,Lower working
Bedfordshire and Hertfordshire,14.8,21.7
"Berkshire, Buckinghamshire and Oxfordshire",15.1,18.3
Cheshire,13.9,24.8
Cornwall and Isles of Scilly,12.3,24.8
Cumbria,15.6,18.1
Derbyshire and Nottinghamshire,11.3,24.9
Devon,12.1,21.7
Dorset and Somerset,17.9,20.8
East Anglia,13.8,21.1
East Wales,11.3,24.4
East Yorkshire and Northern Lincolnshire,11.7,26.4
Eastern Scotland,9.8,25.7
Essex,12.7,16.8
"Gloucestershire, Wiltshire and Bath/Bristol area",11.2,18.9
Greater Manchester,11.8,27.1
Hampshire and Isle of Wight,15.2,19.1
"Herefordshire, Worcestershire and Warwickshire",13.2,21.6
Highlands and Islands,8.2,32.2
Inner London - East,13.2,25.9
Inner London - West,18.7,31.2
Kent,12,19.1
Lancashire,11.1,20.7
"Leicestershire, Rutland and Northamptonshire",13.4,17.8
Lincolnshire,5.7,17.7
Merseyside,9.3,24.4
North Eastern Scotland,11.8,22.3
North Yorkshire,12.6,11.7
Northern Ireland,11.9,28.2
Northumberland and Tyne and Wear,8.7,28
Outer London - East and North East,15.1,22.2
Outer London - South,13.7,23.6
Outer London - West and North West,11.2,26.3
Shropshire and Staffordshire,11.5,24.4
South Yorkshire,11.1,24.9
Southern Scotland,6.6,20.8
"Surrey, East and West Sussex",17.2,18.5
Tees Valley and Durham,8.4,25.7
West Central Scotland,10.2,28.6
West Midlands,11.3,26
West Wales and The Valleys,11.4,26.2
West Yorkshire,10.5,24.6
