Ethnicity,FSM eligible,Not known to be FSM eligible
Bangladeshi,52.7,66.6
Chinese,69.8,80.9
Indian,53.4,74.9
Pakistani,40.6,54.8
Any other Asian background,49.8,70.9
Black African,45.1,58.7
Caribbean,26.1,39.4
Any other black background,36.2,49.8
White and Asian,35.7,67.3
White and Black African,35.3,54.3
White and Black Caribbean,23,44.1
Any other mixed background,34.7,59.3
White British,21.8,53.7
White Irish,32.1,66.6
Gypsy/Roma,5.7,11.6
Traveller of Irish heritage,7.8,22.4
Any other white background,35.2,55.1
Any other ethnic group,41,58
Unclassified,28.7,45.8
