Region,Difference compared to average
Bedfordshire and Hertfordshire,0.4166
"Berkshire, Buckinghamshire and Oxfordshire",0.2685
Cheshire,0.6204
Cornwall and Isles of Scilly,-0.845
Cumbria,1.5462
Derbyshire and Nottinghamshire,0.7788
Devon,0.4129
Dorset and Somerset,0.542
East Anglia,0.344
East Wales,-0.499
East Yorkshire and Northern Lincolnshire,1.0057
Eastern Scotland,-0.53
Essex,0.7122
"Gloucestershire, Wiltshire and Bath/Bristol area",1.3062
Greater Manchester,-1.066
Hampshire and Isle of Wight,0.64
"Herefordshire, Worcestershire and Warwickshire",0.2397
Highlands and Islands,-1.758
Inner London - East,-0.555
Inner London - West,-0.151
Kent,0.2479
Lancashire,0.4451
"Leicestershire, Rutland and Northamptonshire",-0.332
Lincolnshire,-0.434
Merseyside,-2.027
North Eastern Scotland,0.9299
North Yorkshire,-0.183
Northern Ireland,-3.323
Northumberland and Tyne and Wear,-1.718
Outer London - East and North East,1.1189
Outer London - South,0.0432
Outer London - West and North West,0.796
Shropshire and Staffordshire,0.1298
South Yorkshire,-1.316
Southern Scotland,0.4559
"Surrey, East and West Sussex",1.4328
Tees Valley and Durham,0.907
West Central Scotland,-1.033
West Midlands,0.5798
West Wales and The Valleys,-0.144
West Yorkshire,-5.60E-03
