Region,Difference compared to average
Inner London - West,0.8336976
Inner London - East,0.3031593
Outer London - South,1.344885
Outer London - East and North East,0.3210803
Outer London - West and North West,1.392963
Bedfordshire and Hertfordshire,-0.1850744
"Berkshire, Buckinghamshire and Oxfordshire",-0.1746206
Cheshire,-0.5622712
Cornwall and Isles of Scilly,-0.2018995
Cumbria,-0.5659583
Derbyshire and Nottinghamshire,-0.6723403
Devon,-0.7806634
Dorset and Somerset,-0.4685152
East Anglia,-0.4122701
East Yorkshire and Northern Lincolnshire,-0.7424089
Essex,-0.6186491
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.5970523
Greater Manchester,0.4513165
Hampshire and Isle of Wight,-0.5695252
"Herefordshire, Worcestershire and Warwickshire",0.2662891
Kent,-0.3688814
Lancashire,1.639626
"Leicestershire, Rutland and Northamptonshire",-0.6453537
Lincolnshire,0.6188045
Merseyside,0.5084347
North Yorkshire,-0.3080522
Northern Ireland,-0.5569236
Northumberland and Tyne and Wear,2.556513
Shropshire and Staffordshire,-0.4518563
South Yorkshire,-0.0861752
"Surrey, East and West Sussex",-0.8382601
Tees Valley and Durham,0.3145053
West Midlands,0.5760232
West Yorkshire,-0.1929837
West Wales and The Valleys,-0.4734933
East Wales,-1.103359
Highlands and Islands,-0.5949455
Eastern Scotland,0.8940546
West Central Scotland,-0.4365918
Southern Scotland,-0.707818
North Eastern Scotland,1.294591
