ITL2 region name TODO,Random effect? Higher professional? TODO
Bedfordshire and Hertfordshire,0.210581
"Berkshire, Buckinghamshire and Oxfordshire",-0.00138
Cheshire,-0.02341
Cornwall and Isles of Scilly,-0.08617
Cumbria,0.06844
Derbyshire and Nottinghamshire,0.031714
Devon,-0.02123
Dorset and Somerset,0.161342
East Anglia,-0.01542
East Wales,0.029125
East Yorkshire and Northern Lincolnshire,-0.01276
Eastern Scotland,-0.27514
Essex,-0.01749
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.05903
Greater Manchester,0.110706
Hampshire and Isle of Wight,0.087223
"Herefordshire, Worcestershire and Warwickshire",-0.01498
Highlands and Islands,-0.02612
Inner London - East,0.008951
Inner London - West,0.086212
Kent,-0.08099
Lancashire,-0.1315
"Leicestershire, Rutland and Northamptonshire",0.00906
Lincolnshire,-0.23638
Merseyside,-0.15858
North Eastern Scotland,0.00743
North Yorkshire,0.009082
Northern Ireland,0.129253
Northumberland and Tyne and Wear,-0.04187
Outer London - East and North East,0.209765
Outer London - South,0.005565
Outer London - West and North West,0.024796
Shropshire and Staffordshire,-0.11435
South Yorkshire,-0.02338
Southern Scotland,-0.15807
"Surrey, East and West Sussex",0.439118
Tees Valley and Durham,-0.103
West Central Scotland,-0.0128
West Midlands,-0.02559
West Wales and The Valleys,-0.03516
West Yorkshire,0.046404
