Ethnicity,Lower working,Higher professional,Gap
Bangladeshi,18.78509902,51.85456381,33.06946479
Chinese,29.34144593,65.91240805,36.57096212
Indian,29.87059789,66.48055768,36.60995979
Pakistani,16.69443699,48.27097991,31.57654292
Black African,22.2418476,57.11693173,34.87508413
Black Caribbean,25.02953634,60.85482056,35.82528422
Mixed,27.64181115,64.01354956,36.37173841
White British,23.90515119,59.39610811,35.49095692
White other,19.37435066,52.80666205,33.43231139
Other,20.38456766,54.38425077,33.99968311
