Region,Difference compared to average
Inner London - West,2.545391
Inner London - East,27.03765
Outer London - South,57.32725
Outer London - East and North East,51.55183
Outer London - West and North West,22.5099
Bedfordshire and Hertfordshire,23.64937
"Berkshire, Buckinghamshire and Oxfordshire",14.36387
Cheshire,-30.4224
Cornwall and Isles of Scilly,-16.0305
Cumbria,-1.3069
Derbyshire and Nottinghamshire,-5.92567
Devon,4.503971
Dorset and Somerset,16.86
East Anglia,-6.61004
East Yorkshire and Northern Lincolnshire,-4.73886
Essex,10.94569
"Gloucestershire, Wiltshire and Bath/Bristol area",-23.5748
Greater Manchester,-20.973
Hampshire and Isle of Wight,22.8243
"Herefordshire, Worcestershire and Warwickshire",6.305569
Kent,-12.2588
Lancashire,-31.9442
"Leicestershire, Rutland and Northamptonshire",24.22732
Lincolnshire,-18.2039
Merseyside,-11.3037
North Yorkshire,35.1286
Northern Ireland,-25.2929
Northumberland and Tyne and Wear,-22.0676
Shropshire and Staffordshire,-10.2862
South Yorkshire,-31.336
"Surrey, East and West Sussex",51.06117
Tees Valley and Durham,-31.871
West Midlands,-1.17733
West Yorkshire,-31.4025
West Wales and The Valleys,0.943933
East Wales,-9.85072
Highlands and Islands,-13.1753
Eastern Scotland,-31.0352
West Central Scotland,26.78726
Southern Scotland,-23.7565
North Eastern Scotland,15.97059
