Ethnicity,Degree,Non-degree,Gap £,Gap %
Bangladeshi,9.659042143,9.054597785,0.604444358,6.675551718
Chinese,13.07241035,9.164276696,3.908133654,42.64530397
Indian,13.25948781,8.889731199,4.369756611,49.15510394
Pakistani,12.24896649,8.940610069,3.308356421,37.0036988
Black African,13.66802281,8.950603429,4.717419381,52.70504294
Black Caribbean,11.40751515,11.07047579,0.33703936,3.044488479
Mixed,13.40364475,10.17577657,3.22786818,31.7210992
White British,12.94659372,9.844562578,3.102031142,31.51009623
White other,13.06889683,8.842884984,4.226011846,47.78996734
Other,11.93493228,9.467842294,2.467089986,26.05757373
