Ethnicity,Lower working,Higher professional,Gap £,Gap %
Bangladeshi,7.257971914,8.714037698,1.456065784,20.06160676
Chinese,8.494080373,10.19812938,1.704049007,20.06160682
Indian,8.692132623,10.43591409,1.743781467,20.06160677
Pakistani,8.110148486,9.737174583,1.627026097,20.06160676
Black African,8.67633227,10.41694393,1.74061166,20.06160675
Black Caribbean,8.74515672,10.49957567,1.75441895,20.06160674
Mixed,8.880252144,10.66177341,1.781521266,20.06160678
White British,8.69540425,10.43984206,1.74443781,20.0616068
White other,8.440735025,10.13408209,1.693347065,20.06160672
Other,8.118712708,9.747456926,1.628744218,20.06160677
