Age,Lower working,,Higher working,,Intermediate,,Lower professional,,Higher professional,
,Men,Women,Men,Women,Men,Women,Men,Women,Men,Women
25,24.4136,25.8399,30.8492,31.3404,33.7374,34.9835,44.1435,44.2831,49.6187,48.2783
26,25.6837,26.7435,32.5935,32.589,35.6821,36.4527,46.706,46.2547,52.4217,50.428
27,26.8726,27.5574,34.2457,33.7403,37.5276,37.8186,49.1292,48.1013,55.0543,52.4396
28,27.9689,28.2751,35.7926,34.7867,39.2603,39.0736,51.3997,49.8161,57.5057,54.3074
29,28.9627,28.8913,37.2227,35.722,40.8685,40.2113,53.5084,51.3946,59.7701,56.0283
30,29.8455,29.4016,38.5267,36.5412,42.3432,41.227,55.4497,52.8338,61.8457,57.6011
31,30.6099,29.8022,39.697,37.2402,43.6772,42.1165,57.221,54.1324,63.7342,59.0263
32,31.2501,30.0906,40.7276,37.8156,44.8651,42.877,58.8221,55.29,65.4394,60.3055
33,31.7612,30.2649,41.6138,38.2649,45.903,43.5061,60.2546,56.3072,66.9673,61.4411
34,32.1397,30.3238,42.3521,38.5864,46.7881,44.0023,61.5213,57.1851,68.3245,62.436
35,32.3829,30.2669,42.9401,38.7788,47.5187,44.3645,62.6259,57.9251,69.5184,63.2933
36,32.4893,30.0948,43.3758,38.8412,48.0937,44.5919,63.5722,58.5286,70.5564,64.0163
37,32.458,29.8084,43.658,38.7736,48.5125,44.6841,64.3643,58.9971,71.4456,64.6077
38,32.2893,29.4097,43.7862,38.5762,48.7746,44.641,65.0059,59.3319,72.1926,65.0703
39,31.9844,28.9014,43.7599,38.2496,48.88,44.4625,65.5004,59.5339,72.8033,65.4063
40,31.5452,28.2871,43.5793,37.7952,48.8285,44.1491,65.8506,59.6037,73.2828,65.6171
41,30.9749,27.5711,43.2447,37.2149,48.6203,43.7013,66.0584,59.5417,73.6351,65.7041
42,30.2776,26.759,42.757,36.5111,48.2554,43.1202,66.1251,59.3475,73.8633,65.6675
43,29.4586,25.8569,42.1177,35.6872,47.7341,42.4071,66.051,59.0205,73.9695,65.5072
44,28.5244,24.8723,41.3287,34.7474,47.0568,41.564,65.8358,58.56,73.9545,65.2223
