Age,Lower working,,Higher working,,Intermediate,,Lower professional,,Higher professional,
,Men,Women,Men,Women,Men,Women,Men,Women,Men,Women
25,20483.86,12825.13,22028.34,14823.45,23883.1,16326.21,26855.66,19074.32,29983.63,22050.4
26,21784.52,14106.02,23478.73,16110.99,25390.01,17669.59,28601.62,20490.33,31765.92,23579.35
27,23000.45,15290.27,24844.38,17301.89,26812.19,18916.34,30262.85,21809.7,33463.48,25011.65
28,24131.65,16377.88,26125.29,18396.16,28149.64,20066.44,31839.34,23032.44,35076.3,26347.32
29,25178.11,17368.85,27321.48,19393.79,29402.35,21119.91,33331.1,24158.53,36604.39,27586.35
30,26139.84,18263.18,28432.93,20294.78,30570.32,22076.74,34738.13,25187.99,38047.74,28728.74
31,27016.84,19060.88,29459.65,21099.13,31653.57,22936.93,36060.42,26120.81,39406.36,29774.5
32,27809.1,19761.94,30401.63,21806.84,32652.08,23700.49,37297.98,26956.99,40680.25,30723.61
33,28516.63,20366.36,31258.88,22417.92,33565.86,24367.41,38450.81,27696.54,41869.41,31576.09
34,29139.43,20874.14,32031.4,22932.36,34394.9,24937.68,39518.91,28339.44,42973.83,32331.93
35,29677.49,21285.29,32719.18,23350.16,35139.22,25411.33,40502.27,28885.71,43993.52,32991.13
36,30130.82,21599.79,33322.24,23671.32,35798.79,25788.33,41400.9,29335.34,44928.47,33553.7
37,30499.42,21817.66,33840.56,23895.85,36373.64,26068.69,42214.79,29688.33,45778.7,34019.62
38,30783.29,21938.89,34274.14,24023.73,36863.75,26252.42,42943.96,29944.68,46544.19,34388.91
39,30982.42,21963.49,34622.99,24054.98,37269.13,26339.51,43588.38,30104.4,47224.94,34661.56
40,31096.81,21891.44,34887.11,23989.59,37589.78,26329.96,44148.08,30167.48,47820.97,34837.57
41,31126.48,21722.76,35066.5,23827.56,37825.69,26223.77,44623.04,30133.92,48332.26,34916.95
42,31071.41,21457.44,35161.15,23568.9,37976.87,26020.95,45013.27,30003.72,48758.81,34899.68
43,30931.61,21095.48,35171.07,23213.59,38043.32,25721.49,45318.77,29776.88,49100.64,34785.78
44,30707.08,20636.88,35096.26,22761.65,38025.03,25325.38,45539.53,29453.41,49357.73,34575.24
