Age,Men,Women
25,46.37685475,71.9312007
26,45.81877407,67.15806443
27,45.49054475,63.57886421
28,45.35392317,60.87137041
29,45.38180189,58.82657746
30,45.55460171,57.30414966
31,45.85850899,56.20737343
32,46.28395022,55.46859266
33,46.82453712,55.04041959
34,47.47656354,54.8898781
35,48.23868191,54.9949754
36,49.11134181,55.34271398
37,50.09695266,55.92698759
38,51.19953065,56.74863222
39,52.42495583,57.8144457
40,53.78095052,59.13786393
41,55.27698603,60.73901291
42,56.92499954,62.64605657
43,58.7393608,64.89684046
44,60.73729576,67.54102364
