ITL2 region name TODO,TODO how do we describe this value? TODO
Bedfordshire and Hertfordshire,-0.0197
"Berkshire, Buckinghamshire and Oxfordshire",-0.0103
Cheshire,-0.0037
Cornwall and Isles of Scilly,-0.0253
Cumbria,-0.0195
Derbyshire and Nottinghamshire,-0.0083
Devon,-0.0223
Dorset and Somerset,1.00E-04
East Anglia,0.0064
East Wales,-0.0341
East Yorkshire and Northern Lincolnshire,-0.0116
Eastern Scotland,-0.002
Essex,-0.0314
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.0036
Greater Manchester,-0.0191
Hampshire and Isle of Wight,-0.0286
"Herefordshire, Worcestershire and Warwickshire",-0.0185
Highlands and Islands,-0.061
Inner London - East,-0.0091
Inner London - West,0
Kent,-0.0147
Lancashire,-0.028
"Leicestershire, Rutland and Northamptonshire",-0.0321
Lincolnshire,0.0025
Merseyside,-0.0229
North Eastern Scotland,0.001
North Yorkshire,-0.0261
Northern Ireland,0.0212
Northumberland and Tyne and Wear,-0.005
Outer London - East and North East,-0.0321
Outer London - South,-0.0158
Outer London - West and North West,-0.0432
Shropshire and Staffordshire,-0.0057
South Yorkshire,-0.0108
Southern Scotland,-0.0124
"Surrey, East and West Sussex",-0.0193
Tees Valley and Durham,-0.0029
West Central Scotland,-0.0059
West Midlands,-0.0266
West Wales and The Valleys,-0.009
West Yorkshire,-0.0134
