ITL1 region name TODO,Parents are homeowners,Parents are not homeowners,Gap
East Midlands,70.5888682,48.27908556,22.30978264
East of England,72.68871617,45.37939322,27.30932295
London,59.59102402,35.30692617,24.28409785
North East,72.24072343,45.34926484,26.89145859
North West,72.07739416,45.62363327,26.45376089
Scotland,73.07891256,49.69912234,23.37979022
South East,74.94422536,47.83530081,27.10892455
South West,72.66820735,53.96334843,18.70485892
Wales,72.2035913,51.93740574,20.26618556
West Midlands,72.29794702,46.86959117,25.42835585
Yorkshire and The Humber,72.96079869,43.46446703,29.49633166
